Set;MTP;PCA1;PCA2;PCA3;PCA4;PCA5;PCA6;PCA7;PCA8;PCA9;PCA10;PCA11;PCA12;PCA13;PCA14;PCA15;PCA16;PCA17;PCA18;PCA19;PCA20;PCA21;PCA22;PCA23;PCA24;PCA25;PCA26;PCA27;PCA28;PCA29;PCA30
0;14;155.507;16.219;0.2045;3.492;-0.1015;-0.7029;0.5357;125.834;-0.85409;-11.878;-0.7473;-0.24769;-0.15803;-17.341;181.611;-0.12722;-198.979;-0.2146;129.748;-203.971;-112.309;-0.49518;13.462;-0.41256;-0.41868;0.03943;-0.16546;-0.11784;-0.37496;-13.627
0;20.5;19.216;0.5024;-35.012;-56.059;0.2353;0.8029;-16.924;0.84166;-327.091;10.615;-0.7399;-0.71991;-299.839;157.257;244.716;-0.92691;-298.353;-0.922;-248.343;151.724;31.142;0.31124;15.721;0.81094;-0.75783;0.44847;-253.293;-0.23734;0.35976;-0.46143
0;27.5;29.803;27.226;0.1186;14.391;0.2589;-0.1544;0.6418;-0.84201;235.173;-17.614;-14.653;0.37342;-0.47243;-0.36647;0.10324;-0.81997;0.46036;-13.175;-0.21739;0.30744;-0.28395;-0.53661;0.7782;-0.90287;0.76867;0.39945;0.58801;-0.91688;-0.2814;-0.53871
0;30.5;110.316;18.263;-28.054;-0.5824;30.971;-0.2724;-11.749;185.353;-0.66229;-10.594;-27.405;0.61321;-137.618;-31.491;216.979;-0.63065;-0.92685;-27.446;-109.257;148.906;177.598;0.14861;19.517;0.10194;-0.40141;183.278;-0.56565;0.27508;0.04733;0.52258
0;31;10.971;-0.9051;21.868;19.782;0.6094;0.2728;0.6908;0.81029;0.98643;-14.355;-13.427;-0.08812;-0.20889;-138.283;0.86167;-0.4121;-0.55978;-13.416;-0.13499;0.0802;0.56185;-0.64219;11.551;-0.13698;-0.10307;-116.907;125.017;0.20337;0.12266;0.3888
0;31.5;8.97;0.3246;1.639;15.443;12.629;0.0302;0.6373;0.52737;0.89727;-13.607;-13.345;-0.3284;-0.75706;-136.228;102.703;-0.95687;-114.493;-1.485;-0.92465;0.76125;0.194;-0.11299;0.815;-0.00277;0.19109;104.912;-0.54982;-0.6156;0.26942;-0.52469
0;32;103.133;0.7506;0.0457;18.842;0.887;-10.549;21.122;-0.20156;0.55359;-0.9;0.379;0.16337;-0.62494;0.34079;-0.26425;0.79273;-154.128;14.742;0.59146;-218.003;-102.226;-0.62811;-0.4618;-0.64751;-0.70439;0.62144;-15.956;-0.04534;-0.68841;0.34148
0;32.5;128.727;-40.669;20.552;-10.009;0.6876;-0.6474;11.414;155.156;168.499;-0.9712;-23.031;0.75924;-0.89036;-45.321;0.64688;0.08503;-138.828;-16.735;-0.1494;0.92359;0.65697;0.5863;0.3024;-0.68079;186.614;0.27655;114.822;0.65163;-114.279;0.52516
0;33;56.436;35.989;-0.2095;-0.3335;-32.327;-0.3152;-1.435;-251.664;0.07644;0.4751;0.5296;20.139;0.24313;233.215;-0.60107;-0.00281;-0.94991;0.2506;-0.02344;-0.33777;0.38719;0.3726;0.119;0.15807;-137.095;0.69209;206.167;-108.484;0.39061;-0.92572
0;34;85.237;6.659;-19.709;21.965;-0.1292;11.369;-12.095;0.03694;0.21076;0.4333;-0.4046;0.12193;0.4495;370.109;-202.287;0.2697;222.144;-0.421;-109.265;117.498;-0.62454;0.07264;-0.7457;-0.41277;-0.24097;0.80834;0.25568;0.19807;-0.75768;-0.64813
