Set	MTP	PCA1	PCA2	PCA3	PCA4	PCA5	PCA6	PCA7	PCA8	PCA9	PCA10	PCA11	PCA12	PCA13	PCA14	PCA15	PCA16	PCA17	PCA18	PCA19	PCA20	PCA21	PCA22	PCA23	PCA24	PCA25	PCA26	PCA27	PCA28	PCA29	PCA30
0	14	15.5507	1.6219	0.2045	3.492	-0.1015	-0.7029	0.5357	1.25834	-0.85409	-1.1878	-0.7473	-0.24769	-0.15803	-1.7341	1.81611	-0.12722	-1.98979	-0.2146	1.29748	-2.03971	-1.12309	-0.49518	1.3462	-0.41256	-0.41868	0.03943	-0.16546	-0.11784	-0.37496	-1.3627
0	20.5	1.9216	0.5024	-3.5012	-5.6059	0.2353	0.8029	-1.6924	0.84166	-3.27091	1.0615	-0.7399	-0.71991	-2.99839	1.57257	2.44716	-0.92691	-2.98353	-0.922	-2.48343	1.51724	3.1142	0.31124	1.5721	0.81094	-0.75783	0.44847	-2.53293	-0.23734	0.35976	-0.46143
0	27.5	2.9803	2.7226	0.1186	1.4391	0.2589	-0.1544	0.6418	-0.84201	2.35173	-1.7614	-1.4653	0.37342	-0.47243	-0.36647	0.10324	-0.81997	0.46036	-1.3175	-0.21739	0.30744	-0.28395	-0.53661	0.7782	-0.90287	0.76867	0.39945	0.58801	-0.91688	-0.2814	-0.53871
0	30.5	11.0316	1.8263	-2.8054	-0.5824	3.0971	-0.2724	-1.1749	1.85353	-0.66229	-1.0594	-2.7405	0.61321	-1.37618	-3.1491	2.16979	-0.63065	-0.92685	-2.7446	-1.09257	1.48906	1.77598	0.14861	1.9517	0.10194	-0.40141	1.83278	-0.56565	0.27508	0.04733	0.52258
0	31	10.971	-0.9051	2.1868	1.9782	0.6094	0.2728	0.6908	0.81029	0.98643	-1.4355	-1.3427	-0.08812	-0.20889	-1.38283	0.86167	-0.4121	-0.55978	-1.3416	-0.13499	0.0802	0.56185	-0.64219	1.1551	-0.13698	-0.10307	-1.16907	1.25017	0.20337	0.12266	0.3888
0	31.5	8.97	0.3246	1.639	1.5443	1.2629	0.0302	0.6373	0.52737	0.89727	-1.3607	-1.3345	-0.3284	-0.75706	-1.36228	1.02703	-0.95687	-1.14493	-1.485	-0.92465	0.76125	0.194	-0.11299	0.815	-0.00277	0.19109	1.04912	-0.54982	-0.6156	0.26942	-0.52469
0	32	10.3133	0.7506	0.0457	1.8842	0.887	-1.0549	2.1122	-0.20156	0.55359	-0.9	0.379	0.16337	-0.62494	0.34079	-0.26425	0.79273	-1.54128	1.4742	0.59146	-2.18003	-1.02226	-0.62811	-0.4618	-0.64751	-0.70439	0.62144	-1.5956	-0.04534	-0.68841	0.34148
0	32.5	12.8727	-4.0669	2.0552	-1.0009	0.6876	-0.6474	1.1414	1.55156	1.68499	-0.9712	-2.3031	0.75924	-0.89036	-4.5321	0.64688	0.08503	-1.38828	-1.6735	-0.1494	0.92359	0.65697	0.5863	0.3024	-0.68079	1.86614	0.27655	1.14822	0.65163	-1.14279	0.52516
0	33	5.6436	3.5989	-0.2095	-0.3335	-3.2327	-0.3152	-1.435	-2.51664	0.07644	0.4751	0.5296	2.0139	0.24313	2.33215	-0.60107	-0.00281	-0.94991	0.2506	-0.02344	-0.33777	0.38719	0.3726	0.119	0.15807	-1.37095	0.69209	2.06167	-1.08484	0.39061	-0.92572
0	34	8.5237	6.659	-1.9709	2.1965	-0.1292	1.1369	-1.2095	0.03694	0.21076	0.4333	-0.4046	0.12193	0.4495	3.70109	-2.02287	0.2697	2.22144	-0.421	-1.09265	1.17498	-0.62454	0.07264	-0.7457	-0.41277	-0.24097	0.80834	0.25568	0.19807	-0.75768	-0.64813
